UF|MUNICIPIO|ARMARIO|TIPO_REDE|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|LATITUDE_EQUIP1|LONGITUDE_EQUIP1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|LATITUDE_EQUIP2|LONGITUDE_EQUIP2|qtde_fibras
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039564|CAIXA DE EMENDA GENERICA 10|1|CBL0000000011330184|10159_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|6.410000000|TR 1|EQP0000000007039810|-29.785792600|-55.782547200|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|1
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039564|CAIXA DE EMENDA GENERICA 10|2|CBL0000000011330143|10151_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Dutos;Cordoalha|442.510000000|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|1
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039564|CAIXA DE EMENDA GENERICA 10|3|CBL0000000011330284|10179_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|111.780000000|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|CAIXA DE EMENDA GENERICA 10|EQP0000000007039564|-29.786420400|-55.786606100|1
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039573|CAIXA DE EMENDA GENERICA 13|1|CBL0000000011330184|10159_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|6.410000000|TR 1|EQP0000000007039810|-29.785792600|-55.782547200|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|3
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039573|CAIXA DE EMENDA GENERICA 13|2|CBL0000000011330143|10151_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Dutos;Cordoalha|442.510000000|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|3
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039573|CAIXA DE EMENDA GENERICA 13|3|CBL0000000011330289|10180_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|119.350000000|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|CAIXA DE EMENDA GENERICA 13|EQP0000000007039573|-29.785222400|-55.787725100|3
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039948|CAIXA DE EMENDA GENERICA 20|1|CBL0000000011330184|10159_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|6.410000000|TR 1|EQP0000000007039810|-29.785792600|-55.782547200|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|1
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039948|CAIXA DE EMENDA GENERICA 20|2|CBL0000000011330143|10151_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Dutos;Cordoalha|442.510000000|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|1
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039948|CAIXA DE EMENDA GENERICA 20|3|CBL0000000011330279|10178_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|325.850000000|CAIXA DE EMENDA GENERICA 63|EQP0000000007039807|-29.786631400|-55.788574300|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|1
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039948|CAIXA DE EMENDA GENERICA 20|4|CBL0000000011330269|10176_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|356.060000000|CAIXA DE EMENDA GENERICA 63|EQP0000000007039807|-29.786631400|-55.788574300|CAIXA DE EMENDA GENERICA 20|EQP0000000007039948|-29.787635800|-55.790998700|1
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039949|CAIXA DE EMENDA GENERICA 21|1|CBL0000000011330184|10159_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|6.410000000|TR 1|EQP0000000007039810|-29.785792600|-55.782547200|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|4
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039949|CAIXA DE EMENDA GENERICA 21|2|CBL0000000011330143|10151_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Dutos;Cordoalha|442.510000000|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|4
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039949|CAIXA DE EMENDA GENERICA 21|3|CBL0000000011330279|10178_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|325.850000000|CAIXA DE EMENDA GENERICA 63|EQP0000000007039807|-29.786631400|-55.788574300|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|4
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039949|CAIXA DE EMENDA GENERICA 21|4|CBL0000000011330274|10177_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|108.750000000|CAIXA DE EMENDA GENERICA 63|EQP0000000007039807|-29.786631400|-55.788574300|CAIXA DE EMENDA GENERICA 21|EQP0000000007039949|-29.786648400|-55.789652900|4
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039954|CAIXA DE EMENDA GENERICA 22|1|CBL0000000011330184|10159_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|6.410000000|TR 1|EQP0000000007039810|-29.785792600|-55.782547200|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|1
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039954|CAIXA DE EMENDA GENERICA 22|2|CBL0000000011330143|10151_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Dutos;Cordoalha|442.510000000|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|1
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039954|CAIXA DE EMENDA GENERICA 22|3|CBL0000000011330279|10178_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|325.850000000|CAIXA DE EMENDA GENERICA 63|EQP0000000007039807|-29.786631400|-55.788574300|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|1
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039954|CAIXA DE EMENDA GENERICA 22|4|CBL0000000011330269|10176_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|356.060000000|CAIXA DE EMENDA GENERICA 63|EQP0000000007039807|-29.786631400|-55.788574300|CAIXA DE EMENDA GENERICA 20|EQP0000000007039948|-29.787635800|-55.790998700|1
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039954|CAIXA DE EMENDA GENERICA 22|5|CBL0000000011330264|10175_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|31.470000000|CAIXA DE EMENDA GENERICA 22|EQP0000000007039954|-29.787915000|-55.791057900|CAIXA DE EMENDA GENERICA 20|EQP0000000007039948|-29.787635800|-55.790998700|1
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039982|CAIXA DE EMENDA GENERICA 23|1|CBL0000000011330184|10159_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|6.410000000|TR 1|EQP0000000007039810|-29.785792600|-55.782547200|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|3
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039982|CAIXA DE EMENDA GENERICA 23|2|CBL0000000011330143|10151_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Dutos;Cordoalha|442.510000000|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|3
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039982|CAIXA DE EMENDA GENERICA 23|3|CBL0000000011330279|10178_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|325.850000000|CAIXA DE EMENDA GENERICA 63|EQP0000000007039807|-29.786631400|-55.788574300|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|3
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039982|CAIXA DE EMENDA GENERICA 23|4|CBL0000000011330269|10176_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|356.060000000|CAIXA DE EMENDA GENERICA 63|EQP0000000007039807|-29.786631400|-55.788574300|CAIXA DE EMENDA GENERICA 20|EQP0000000007039948|-29.787635800|-55.790998700|3
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039982|CAIXA DE EMENDA GENERICA 23|5|CBL0000000011330259|10174_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|402.270000000|CAIXA DE EMENDA GENERICA 20|EQP0000000007039948|-29.787635800|-55.790998700|CAIXA DE EMENDA GENERICA 64|EQP0000000007039808|-29.786609200|-55.794979900|3
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039982|CAIXA DE EMENDA GENERICA 23|6|CBL0000000011330249|10172_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|422.670000000|CAIXA DE EMENDA GENERICA 64|EQP0000000007039808|-29.786609200|-55.794979900|CAIXA DE EMENDA GENERICA 65|EQP0000000007039809|-29.789182100|-55.796930400|3
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007039982|CAIXA DE EMENDA GENERICA 23|7|CBL0000000011330244|10171_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|16.870000000|CAIXA DE EMENDA GENERICA 23|EQP0000000007039982|-29.789328000|-55.796980000|CAIXA DE EMENDA GENERICA 65|EQP0000000007039809|-29.789182100|-55.796930400|3
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007040145|CAIXA DE EMENDA GENERICA 24|1|CBL0000000011330184|10159_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|6.410000000|TR 1|EQP0000000007039810|-29.785792600|-55.782547200|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|5
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007040145|CAIXA DE EMENDA GENERICA 24|2|CBL0000000011330143|10151_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Dutos;Cordoalha|442.510000000|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|5
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007040145|CAIXA DE EMENDA GENERICA 24|3|CBL0000000011330279|10178_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|325.850000000|CAIXA DE EMENDA GENERICA 63|EQP0000000007039807|-29.786631400|-55.788574300|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|5
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007040145|CAIXA DE EMENDA GENERICA 24|4|CBL0000000011330269|10176_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|356.060000000|CAIXA DE EMENDA GENERICA 63|EQP0000000007039807|-29.786631400|-55.788574300|CAIXA DE EMENDA GENERICA 20|EQP0000000007039948|-29.787635800|-55.790998700|5
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007040145|CAIXA DE EMENDA GENERICA 24|5|CBL0000000011330259|10174_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|402.270000000|CAIXA DE EMENDA GENERICA 20|EQP0000000007039948|-29.787635800|-55.790998700|CAIXA DE EMENDA GENERICA 64|EQP0000000007039808|-29.786609200|-55.794979900|5
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007040145|CAIXA DE EMENDA GENERICA 24|6|CBL0000000011330254|10173_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|33.580000000|CAIXA DE EMENDA GENERICA 64|EQP0000000007039808|-29.786609200|-55.794979900|CAIXA DE EMENDA GENERICA 24|EQP0000000007040145|-29.786523100|-55.795312900|5
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007040159|CAIXA DE EMENDA GENERICA 25|1|CBL0000000011330184|10159_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|6.410000000|TR 1|EQP0000000007039810|-29.785792600|-55.782547200|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|2
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007040159|CAIXA DE EMENDA GENERICA 25|2|CBL0000000011330143|10151_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Dutos;Cordoalha|442.510000000|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|CAIXA DE EMENDA GENERICA 62|EQP0000000007039806|-29.785738700|-55.782571300|2
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007040159|CAIXA DE EMENDA GENERICA 25|3|CBL0000000011330279|10178_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|325.850000000|CAIXA DE EMENDA GENERICA 63|EQP0000000007039807|-29.786631400|-55.788574300|CAIXA DE EMENDA GENERICA 12|EQP0000000007042894|-29.785515700|-55.786537500|2
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007040159|CAIXA DE EMENDA GENERICA 25|4|CBL0000000011330269|10176_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|356.060000000|CAIXA DE EMENDA GENERICA 63|EQP0000000007039807|-29.786631400|-55.788574300|CAIXA DE EMENDA GENERICA 20|EQP0000000007039948|-29.787635800|-55.790998700|2
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007040159|CAIXA DE EMENDA GENERICA 25|5|CBL0000000011330259|10174_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|402.270000000|CAIXA DE EMENDA GENERICA 20|EQP0000000007039948|-29.787635800|-55.790998700|CAIXA DE EMENDA GENERICA 64|EQP0000000007039808|-29.786609200|-55.794979900|2
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007040159|CAIXA DE EMENDA GENERICA 25|6|CBL0000000011330249|10172_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|422.670000000|CAIXA DE EMENDA GENERICA 64|EQP0000000007039808|-29.786609200|-55.794979900|CAIXA DE EMENDA GENERICA 65|EQP0000000007039809|-29.789182100|-55.796930400|2
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007040159|CAIXA DE EMENDA GENERICA 25|7|CBL0000000011330239|10170_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|280.960000000|CAIXA DE EMENDA GENERICA 65|EQP0000000007039809|-29.789182100|-55.796930400|CAIXA DE EMENDA GENERICA 26|EQP0000000007040167|-29.791612900|-55.797753500|2
RS|ALEGRETE|RSALG_G1I01|BARRAMENTO|TR 1|Primario|LOC0000000006967134|RSALG_G1I01|EQP0000000007039810|TR 1|EQP0000000007040159|CAIXA DE EMENDA GENERICA 25|8|CBL0000000011330204|10163_CFOA-SM-AS-80G|CFOA-SM-AS-80G-72|72|Cordoalha|257.110000000|CAIXA DE EMENDA GENERICA 26|EQP0000000007040167|-29.791612900|-55.797753500|CAIXA DE EMENDA GENERICA 25|EQP0000000007040159|-29.792141500|-55.799738300|2
