UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018532|CAIXA DE EMENDA GENERICA 1277|1|CBL0000000047059530|71217_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha|5.440000000|TR 1|EQP0000000023037928|CAIXA DE EMENDA GENERICA 1094|EQP0000000023037724|3
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018532|CAIXA DE EMENDA GENERICA 1277|2|CBL0000000047059540|71219_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Cordoalha;Dutos|2132.700000000|CAIXA DE EMENDA GENERICA 1094|EQP0000000023037724|CAIXA DE EMENDA GENERICA 1097|EQP0000000023037726|3
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018532|CAIXA DE EMENDA GENERICA 1277|3|CBL0000000047059620|71235_CFOA-SM-AS80-S|CFOA-SM-AS80-S-24|24|Cordoalha|533.060000000|CAIXA DE EMENDA GENERICA 1097|EQP0000000023037726|CAIXA DE EMENDA GENERICA 1110|EQP0000000023021002|3
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018532|CAIXA DE EMENDA GENERICA 1277|4|CBL0000000047063061|71405_CFOA-SM-AS80-S|CFOA-SM-AS80-S-24|24|Cordoalha|783.860000000|CAIXA DE EMENDA GENERICA 1110|EQP0000000023021002|CAIXA DE EMENDA GENERICA 1277|EQP0000000023018532|3
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018535|CAIXA DE EMENDA GENERICA 1372|1|CBL0000000047059530|71217_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha|5.440000000|TR 1|EQP0000000023037928|CAIXA DE EMENDA GENERICA 1094|EQP0000000023037724|3
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018535|CAIXA DE EMENDA GENERICA 1372|2|CBL0000000047059540|71219_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Cordoalha;Dutos|2132.700000000|CAIXA DE EMENDA GENERICA 1094|EQP0000000023037724|CAIXA DE EMENDA GENERICA 1097|EQP0000000023037726|3
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018535|CAIXA DE EMENDA GENERICA 1372|3|CBL0000000047078380|72157_CFOA-SM-AS80-S|CFOA-SM-AS80-S-36|36|Cordoalha|520.150000000|CAIXA DE EMENDA GENERICA 1097|EQP0000000023037726|CAIXA DE EMENDA GENERICA 1096|EQP0000000023018541|3
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018535|CAIXA DE EMENDA GENERICA 1372|4|CBL0000000047061230|71295_CFOA-SM-AS80-S|CFOA-SM-AS80-S-24|24|Cordoalha|380.210000000|CAIXA DE EMENDA GENERICA 1096|EQP0000000023018541|CAIXA DE EMENDA GENERICA 1168|EQP0000000023038211|3
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018535|CAIXA DE EMENDA GENERICA 1372|5|CBL0000000047064817|71501_CFOA-SM-AS80-S|CFOA-SM-AS80-S-24|24|Cordoalha|191.950000000|CAIXA DE EMENDA GENERICA 1168|EQP0000000023038211|CAIXA DE EMENDA GENERICA 1372|EQP0000000023018535|3
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018536|CAIXA DE EMENDA GENERICA 1455|1|CBL0000000047059530|71217_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha|5.440000000|TR 1|EQP0000000023037928|CAIXA DE EMENDA GENERICA 1094|EQP0000000023037724|4
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018536|CAIXA DE EMENDA GENERICA 1455|2|CBL0000000047059540|71219_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Cordoalha;Dutos|2132.700000000|CAIXA DE EMENDA GENERICA 1094|EQP0000000023037724|CAIXA DE EMENDA GENERICA 1097|EQP0000000023037726|4
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018536|CAIXA DE EMENDA GENERICA 1455|3|CBL0000000047078380|72157_CFOA-SM-AS80-S|CFOA-SM-AS80-S-36|36|Cordoalha|520.150000000|CAIXA DE EMENDA GENERICA 1097|EQP0000000023037726|CAIXA DE EMENDA GENERICA 1096|EQP0000000023018541|4
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018536|CAIXA DE EMENDA GENERICA 1455|4|CBL0000000047061230|71295_CFOA-SM-AS80-S|CFOA-SM-AS80-S-24|24|Cordoalha|380.210000000|CAIXA DE EMENDA GENERICA 1096|EQP0000000023018541|CAIXA DE EMENDA GENERICA 1168|EQP0000000023038211|4
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018536|CAIXA DE EMENDA GENERICA 1455|5|CBL0000000047064817|71501_CFOA-SM-AS80-S|CFOA-SM-AS80-S-24|24|Cordoalha|191.950000000|CAIXA DE EMENDA GENERICA 1168|EQP0000000023038211|CAIXA DE EMENDA GENERICA 1372|EQP0000000023018535|4
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018536|CAIXA DE EMENDA GENERICA 1455|6|CBL0000000047066301|71539_CFOA-SM-AS80-S|CFOA-SM-AS80-S-24|24|Cordoalha|272.910000000|CAIXA DE EMENDA GENERICA 1372|EQP0000000023018535|CAIXA DE EMENDA GENERICA 1410|EQP0000000023037261|4
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018536|CAIXA DE EMENDA GENERICA 1455|7|CBL0000000047066401|71558_CFOA-SM-AS80-S|CFOA-SM-AS80-S-12|12|Cordoalha|230.170000000|CAIXA DE EMENDA GENERICA 1410|EQP0000000023037261|CAIXA DE EMENDA GENERICA 1428|EQP0000000023037758|4
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Primario|LOC0000000022798591|RJCBF_G1I03|EQP0000000023037928|TR 1|EQP0000000023018536|CAIXA DE EMENDA GENERICA 1455|8|CBL0000000047066541|71586_CFOA-SM-AS80-S|CFOA-SM-AS80-S-12|12|Cordoalha|639.460000000|CAIXA DE EMENDA GENERICA 1428|EQP0000000023037758|CAIXA DE EMENDA GENERICA 1455|EQP0000000023018536|4
