UF|MUNICIPIO|ARMARIO|TIPO_REDE|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|LATITUDE_EQUIP1|LONGITUDE_EQUIP1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|LATITUDE_EQUIP2|LONGITUDE_EQUIP2|qtde_fibras
RS|CAPAO DA CANOA|RSKDK_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000003091667|RSKDK_G1M01|EQP0000000003096091|TR 1|EQP0000000003094569|CAIXA DE EMENDA GENERICA 8|1|CBL0000000004287506|1200_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|20.990000000|TR 1|EQP0000000003096091|-29.752845200|-50.014023100|CAIXA DE EMENDA GENERICA 16|EQP0000000003094577|-29.752751400|-50.014109100|2
RS|CAPAO DA CANOA|RSKDK_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000003091667|RSKDK_G1M01|EQP0000000003096091|TR 1|EQP0000000003094569|CAIXA DE EMENDA GENERICA 8|2|CBL0000000004300541|1214_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha;Dutos|1727.910000000|CAIXA DE EMENDA GENERICA 16|EQP0000000003094577|-29.752751400|-50.014109100|CAIXA DE EMENDA GENERICA 186|EQP0000000003094752|-29.766248700|-50.021693000|2
RS|CAPAO DA CANOA|RSKDK_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000003091667|RSKDK_G1M01|EQP0000000003096091|TR 1|EQP0000000003094569|CAIXA DE EMENDA GENERICA 8|3|CBL0000000004287596|1233_CFOA-SM-AS-80G|CFOA-SM-AS-80G-72|72|Cordoalha;Dutos|160.960000000|CAIXA DE EMENDA GENERICA 186|EQP0000000003094752|-29.766248700|-50.021693000|CAIXA DE EMENDA GENERICA 2|EQP0000000003094563|-29.767503400|-50.022366000|2
RS|CAPAO DA CANOA|RSKDK_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000003091667|RSKDK_G1M01|EQP0000000003096091|TR 1|EQP0000000003094569|CAIXA DE EMENDA GENERICA 8|4|CBL0000000004301576|1235_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha;Dutos|199.430000000|CAIXA DE EMENDA GENERICA 2|EQP0000000003094563|-29.767503400|-50.022366000|CAIXA DE EMENDA GENERICA 38|EQP0000000003094598|-29.769047900|-50.023078700|2
RS|CAPAO DA CANOA|RSKDK_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000003091667|RSKDK_G1M01|EQP0000000003096091|TR 1|EQP0000000003094569|CAIXA DE EMENDA GENERICA 8|5|CBL0000000004287641|1251_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha;Dutos|60.350000000|CAIXA DE EMENDA GENERICA 38|EQP0000000003094598|-29.769047900|-50.023078700|CAIXA DE EMENDA GENERICA 3|EQP0000000003094564|-29.769279800|-50.022514200|2
RS|CAPAO DA CANOA|RSKDK_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000003091667|RSKDK_G1M01|EQP0000000003096091|TR 1|EQP0000000003094569|CAIXA DE EMENDA GENERICA 8|6|CBL0000000004287646|1252_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha;Dutos|84.620000000|CAIXA DE EMENDA GENERICA 3|EQP0000000003094564|-29.769279800|-50.022514200|CAIXA DE EMENDA GENERICA 31|EQP0000000003094591|-29.769566500|-50.021814900|2
RS|CAPAO DA CANOA|RSKDK_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000003091667|RSKDK_G1M01|EQP0000000003096091|TR 1|EQP0000000003094569|CAIXA DE EMENDA GENERICA 8|7|CBL0000000004287651|1255_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha;Dutos|101.730000000|CAIXA DE EMENDA GENERICA 31|EQP0000000003094591|-29.769566500|-50.021814900|CAIXA DE EMENDA GENERICA 18|EQP0000000003094578|-29.769914100|-50.020954000|2
RS|CAPAO DA CANOA|RSKDK_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000003091667|RSKDK_G1M01|EQP0000000003096091|TR 1|EQP0000000003094569|CAIXA DE EMENDA GENERICA 8|8|CBL0000000004287656|1256_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Dutos;Cordoalha|99.060000000|CAIXA DE EMENDA GENERICA 18|EQP0000000003094578|-29.769914100|-50.020954000|CAIXA DE EMENDA GENERICA 14|EQP0000000003094575|-29.770099000|-50.020221300|2
RS|CAPAO DA CANOA|RSKDK_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000003091667|RSKDK_G1M01|EQP0000000003096091|TR 1|EQP0000000003094569|CAIXA DE EMENDA GENERICA 8|9|CBL0000000004301626|1257_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Dutos;Cordoalha|91.290000000|CAIXA DE EMENDA GENERICA 14|EQP0000000003094575|-29.770099000|-50.020221300|CAIXA DE EMENDA GENERICA 8|EQP0000000003094569|-29.770447800|-50.019366300|2
RS|CAPAO DA CANOA|RSKDK_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000003091667|RSKDK_G1M01|EQP0000000003096091|TR 1|EQP0000000003094575|CAIXA DE EMENDA GENERICA 14|1|CBL0000000004287506|1200_CFOA-SM-AS-80G|CFOA-SM-AS-80G-144|144|Cordoalha|20.990000000|TR 1|EQP0000000003096091|-29.752845200|-50.014023100|CAIXA DE EMENDA GENERICA 16|EQP0000000003094577|-29.752751400|-50.014109100|3
