UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Primario|LOC0000000016551789|SCGRB_G1I01|EQP0000000016692831|DGO1_BR-SCGRB01|EQP0000000007759946|I01-SCGRBFOSC-18|1|CBL0000000017231251|BR-SCGRB01F1I01-SCGPAFIST-28&SCGPA-I01-SP001-144F1I01-SCGPAFIST-28|CFOA-SM-AS-80G-144|144|Dutos|12.970000000|DGO1_BR-SCGRB01|EQP0000000016692831|I01-SCGRBFIST-28|EQP0000000010262461|2
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Primario|LOC0000000016551789|SCGRB_G1I01|EQP0000000016692831|DGO1_BR-SCGRB01|EQP0000000007759946|I01-SCGRBFOSC-18|2|CBL0000000010263525|SCGPA-I01-SP001-077F1I01-SCGPAFOSC-23|CFOA-SM-AS-80G-144|144|Autossustentável;Dutos|187.900000000|I01-SCGRBFIST-28|EQP0000000010262461|I01-SCGRBFOSC-23|EQP0000000008497533|2
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Primario|LOC0000000016551789|SCGRB_G1I01|EQP0000000016692831|DGO1_BR-SCGRB01|EQP0000000007759946|I01-SCGRBFOSC-18|3|CBL0000000010264024|SCGPA-I01-SP057-073F1I01-SCGPAFOSC-22|CFOA-SM-AS-80G-36|36|Autossustentável|911.980000000|I01-SCGRBFOSC-23|EQP0000000008497533|I01-SCGRBFOSC-22|EQP0000000008513319|2
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Primario|LOC0000000016551789|SCGRB_G1I01|EQP0000000016692831|DGO1_BR-SCGRB01|EQP0000000007759946|I01-SCGRBFOSC-18|4|CBL0000000010264233|SCGPA-I01-SP057-069F1I01-SCGPAFOSC-21|CFOA-SM-AS-80G-36|36|Autossustentável|454.590000000|I01-SCGRBFOSC-22|EQP0000000008513319|I01-SCGRBFOSC-21|EQP0000000008355198|2
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Primario|LOC0000000016551789|SCGRB_G1I01|EQP0000000016692831|DGO1_BR-SCGRB01|EQP0000000007759946|I01-SCGRBFOSC-18|5|CBL0000000010264544|SCGPA-I01-SP057-066F1I01-SCGPAFOSC-20|CFOA-SM-AS-80G-36|36|Autossustentável|294.780000000|I01-SCGRBFOSC-21|EQP0000000008355198|I01-SCGRBFOSC-20|EQP0000000008803441|2
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Primario|LOC0000000016551789|SCGRB_G1I01|EQP0000000016692831|DGO1_BR-SCGRB01|EQP0000000007759946|I01-SCGRBFOSC-18|6|CBL0000000010265644|SCGPA-I01-SP057-061F1I01-SCGPAFOSC-19|CFOA-SM-ASU-80-S-R-A-12F|12|Autossustentável|670.410000000|I01-SCGRBFOSC-20|EQP0000000008803441|I01-SCGRBFOSC-19|EQP0000000008661053|2
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Primario|LOC0000000016551789|SCGRB_G1I01|EQP0000000016692831|DGO1_BR-SCGRB01|EQP0000000007759946|I01-SCGRBFOSC-18|7|CBL0000000010266073|SCGPA-I01-SP057-058F1I01-SCGPAFOSC-18|CFOA-SM-ASU-80-S-R-A-12F|12|Autossustentável|1355.310000000|I01-SCGRBFOSC-19|EQP0000000008661053|I01-SCGRBFOSC-18|EQP0000000007759946|2
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Primario|LOC0000000016551789|SCGRB_G1I01|EQP0000000016692831|DGO1_BR-SCGRB01|EQP0000000007921758|I01-SCGRBFOSC-15|1|CBL0000000017231251|BR-SCGRB01F1I01-SCGPAFIST-28&SCGPA-I01-SP001-144F1I01-SCGPAFIST-28|CFOA-SM-AS-80G-144|144|Dutos|12.970000000|DGO1_BR-SCGRB01|EQP0000000016692831|I01-SCGRBFIST-28|EQP0000000010262461|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Primario|LOC0000000016551789|SCGRB_G1I01|EQP0000000016692831|DGO1_BR-SCGRB01|EQP0000000007921758|I01-SCGRBFOSC-15|2|CBL0000000010263525|SCGPA-I01-SP001-077F1I01-SCGPAFOSC-23|CFOA-SM-AS-80G-144|144|Autossustentável;Dutos|187.900000000|I01-SCGRBFIST-28|EQP0000000010262461|I01-SCGRBFOSC-23|EQP0000000008497533|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Primario|LOC0000000016551789|SCGRB_G1I01|EQP0000000016692831|DGO1_BR-SCGRB01|EQP0000000007921758|I01-SCGRBFOSC-15|3|CBL0000000010280829|SCGPA-I01-SP045-056F1I01-SCGPAFOSC-17|CFOA-SM-AS-80G-36|36|Autossustentável|410.690000000|I01-SCGRBFOSC-23|EQP0000000008497533|I01-SCGRBFOSC-17|EQP0000000008107072|1
