UF|MUNICIPIO|ARMARIO|TIPO_REDE|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMP|COMPRIMENTO_GEOMETRICO|TIPO_EQUIP1|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|UID_EQUIPAMENTO_LOGICO_1|NOME_EQUIPAMENTO_LOGICO_1|LATITUDE_EQUIP1|LONGITUDE_EQUIP1|TIPO_EQUIP2|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|UID_EQUIPAMENTO_LOGICO_2|NOME_EQUIPAMENTO_LOGICO_2|LATITUDE_EQUIP2|LONGITUDE_EQUIP2|CE-T1|CE-T2|qtde_fibras|COMP_NORM
SC|GAROPABA|SCGRB_G1I01|BARRAMENTO|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007947163|I01G0360|1|CBL0000000007953747|SCGPA-I01-SP045F1I01-SCGPACTO360|DROP 12F|12|Autossustentável|165.990000000|149.980000000|511|I01-SCGRBFOSC-14|EQP0000000007946942|EQP0000000007946942|I01-SCGRBFOSC-14|-28.031527200|-48.617681600|515|I01G0360|EQP0000000007947163|EQP0000000007947163|I01G0360|-28.032614000|-48.618281700|SIM|NAO|1|200
SC|GAROPABA|SCGRB_G1I01|BARRAMENTO|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007947454|I01G0359|1|CBL0000000007953747|SCGPA-I01-SP045F1I01-SCGPACTO360|DROP 12F|12|Autossustentável|165.990000000|149.980000000|511|I01-SCGRBFOSC-14|EQP0000000007946942|EQP0000000007946942|I01-SCGRBFOSC-14|-28.031527200|-48.617681600|515|I01G0360|EQP0000000007947163|EQP0000000007947163|I01G0360|-28.032614000|-48.618281700|SIM|NAO|1|200
SC|GAROPABA|SCGRB_G1I01|BARRAMENTO|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007947454|I01G0359|2|CBL0000000007954027|SCGPA-I01-SP045F1I01-SCGPACTO359|DROP 12F|12|Autossustentável|245.040000000|229.030000000|515|I01G0360|EQP0000000007947163|EQP0000000007947163|I01G0360|-28.032614000|-48.618281700|515|I01G0359|EQP0000000007947454|EQP0000000007947454|I01G0359|-28.032772500|-48.617617600|NAO|NAO|1|300
SC|GAROPABA|SCGRB_G1I01|BARRAMENTO|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007947876|I01G0358|1|CBL0000000007953747|SCGPA-I01-SP045F1I01-SCGPACTO360|DROP 12F|12|Autossustentável|165.990000000|149.980000000|511|I01-SCGRBFOSC-14|EQP0000000007946942|EQP0000000007946942|I01-SCGRBFOSC-14|-28.031527200|-48.617681600|515|I01G0360|EQP0000000007947163|EQP0000000007947163|I01G0360|-28.032614000|-48.618281700|SIM|NAO|1|200
SC|GAROPABA|SCGRB_G1I01|BARRAMENTO|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007947876|I01G0358|2|CBL0000000007954027|SCGPA-I01-SP045F1I01-SCGPACTO359|DROP 12F|12|Autossustentável|245.040000000|229.030000000|515|I01G0360|EQP0000000007947163|EQP0000000007947163|I01G0360|-28.032614000|-48.618281700|515|I01G0359|EQP0000000007947454|EQP0000000007947454|I01G0359|-28.032772500|-48.617617600|NAO|NAO|1|300
SC|GAROPABA|SCGRB_G1I01|BARRAMENTO|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007947876|I01G0358|3|CBL0000000007954705|SCGPA-I01-SP045F1I01-SCGPACTO358|DROP 12F|12|Autossustentável|348.650000000|332.650000000|515|I01G0359|EQP0000000007947454|EQP0000000007947454|I01G0359|-28.032772500|-48.617617600|515|I01G0358|EQP0000000007947876|EQP0000000007947876|I01G0358|-28.034457200|-48.618009500|NAO|NAO|1|400
SC|GAROPABA|SCGRB_G1I01|BARRAMENTO|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948064|I01G0357|1|CBL0000000007953747|SCGPA-I01-SP045F1I01-SCGPACTO360|DROP 12F|12|Autossustentável|165.990000000|149.980000000|511|I01-SCGRBFOSC-14|EQP0000000007946942|EQP0000000007946942|I01-SCGRBFOSC-14|-28.031527200|-48.617681600|515|I01G0360|EQP0000000007947163|EQP0000000007947163|I01G0360|-28.032614000|-48.618281700|SIM|NAO|1|200
SC|GAROPABA|SCGRB_G1I01|BARRAMENTO|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948064|I01G0357|2|CBL0000000007954027|SCGPA-I01-SP045F1I01-SCGPACTO359|DROP 12F|12|Autossustentável|245.040000000|229.030000000|515|I01G0360|EQP0000000007947163|EQP0000000007947163|I01G0360|-28.032614000|-48.618281700|515|I01G0359|EQP0000000007947454|EQP0000000007947454|I01G0359|-28.032772500|-48.617617600|NAO|NAO|1|300
SC|GAROPABA|SCGRB_G1I01|BARRAMENTO|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948064|I01G0357|3|CBL0000000007954705|SCGPA-I01-SP045F1I01-SCGPACTO358|DROP 12F|12|Autossustentável|348.650000000|332.650000000|515|I01G0359|EQP0000000007947454|EQP0000000007947454|I01G0359|-28.032772500|-48.617617600|515|I01G0358|EQP0000000007947876|EQP0000000007947876|I01G0358|-28.034457200|-48.618009500|NAO|NAO|1|400
SC|GAROPABA|SCGRB_G1I01|BARRAMENTO|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948064|I01G0357|4|CBL0000000007954857|SCGPA-I01-SP045F1I01-SCGPACTO357|DROP 12F|12|Autossustentável|233.660000000|217.650000000|515|I01G0358|EQP0000000007947876|EQP0000000007947876|I01G0358|-28.034457200|-48.618009500|515|I01G0357|EQP0000000007948064|EQP0000000007948064|I01G0357|-28.035456400|-48.617926400|NAO|NAO|1|300
SC|GAROPABA|SCGRB_G1I01|BARRAMENTO|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948385|I01G0356|1|CBL0000000007953747|SCGPA-I01-SP045F1I01-SCGPACTO360|DROP 12F|12|Autossustentável|165.990000000|149.980000000|511|I01-SCGRBFOSC-14|EQP0000000007946942|EQP0000000007946942|I01-SCGRBFOSC-14|-28.031527200|-48.617681600|515|I01G0360|EQP0000000007947163|EQP0000000007947163|I01G0360|-28.032614000|-48.618281700|SIM|NAO|1|200
SC|GAROPABA|SCGRB_G1I01|BARRAMENTO|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948385|I01G0356|2|CBL0000000007954027|SCGPA-I01-SP045F1I01-SCGPACTO359|DROP 12F|12|Autossustentável|245.040000000|229.030000000|515|I01G0360|EQP0000000007947163|EQP0000000007947163|I01G0360|-28.032614000|-48.618281700|515|I01G0359|EQP0000000007947454|EQP0000000007947454|I01G0359|-28.032772500|-48.617617600|NAO|NAO|1|300
