IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UUID_TRACADO|TRACADO_ETIQUETA|UF|MUNICIPIO|ARMARIO|TIPO_REDE
CBL0000000193388163|||||||||||||||EQP0000000011991135|CAIXA DE EMENDA GENERICA 3|LOC0000000011613004|Poste|77893|-28.229434800|-48.672555600|EQP0000000193387984|I01-SCIMAFOSC-49|LOC0000000011613004|Poste|77893|-28.229434800|-48.672555600|||SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000163609242|||||||||||||||EQP0000000163606650|I01GP589|LOC0000000011968525|MDU|MANOEL FLORENTINO MACHADO (CENTRO) 405,LJ A 8929|-28.238148400|-48.661187200|EQP0000000012008278|I01GP590|LOC0000000011968525|MDU|MANOEL FLORENTINO MACHADO (CENTRO) 405,LJ A 8929|-28.238148400|-48.661187200|||SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000193671051|||||||||||||||EQP0000000011990883|CAIXA DE EMENDA GENERICA 36|LOC0000000011617556|Poste|78535|-28.240787200|-48.666495000|EQP0000000193337389|I01-SCIMAFOSC-102|LOC0000000011617556|Poste|78535|-28.240787200|-48.666495000|||SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000107036275|||||||||||||||EQP0000000011991176|I01GP1602|LOC0000000011975938|MDU|LOURIVAL RAMOS-RES DOMICIO DE SOUZA-SN-BL A SN 4726|-28.270436000|-48.696456100|EQP0000000107036247|I01GP1601|LOC0000000011975938|MDU|LOURIVAL RAMOS-RES DOMICIO DE SOUZA-SN-BL A SN 4726|-28.270436000|-48.696456100|||SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000193372793|||||||||||||||EQP0000000011990797|CAIXA DE EMENDA GENERICA 24|LOC0000000011618096|Poste|80036|-28.266133300|-48.688468200|EQP0000000193372735|I01-SCIMAHUB-65|LOC0000000011618096|Poste|80036|-28.266133300|-48.688468200|||SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000193697223|||||||||||||||EQP0000000012008093|CAIXA DE EMENDA GENERICA 1|LOC0000000011622879|Poste|78884|-28.240103500|-48.669630600|EQP0000000193697067|I01-SCIMAFOSC-121|LOC0000000011622879|Poste|78884|-28.240103500|-48.669630600|||SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000107036333|||||||||||||||EQP0000000012009380|I01GP1604|LOC0000000011976583|MDU|LOURIVAL RAMOS-RES DOMICIO DE SOUZA-SN-BL B SN 4727|-28.270312300|-48.696680000|EQP0000000107036306|I01GP1603|LOC0000000011976583|MDU|LOURIVAL RAMOS-RES DOMICIO DE SOUZA-SN-BL B SN 4727|-28.270312300|-48.696680000|||SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000193393512|||||||||||||||EQP0000000011991181|CAIXA DE EMENDA GENERICA 15|LOC0000000011619753|Poste|80545|-28.261929800|-48.689698700|EQP0000000193393506|I01-SCIMAFOSC-2210|LOC0000000011619753|Poste|80545|-28.261929800|-48.689698700|||SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000107049416|||||||||||||||EQP0000000011990925|I01GP639|LOC0000000011976984|MDU|JOAO RIMSA (CENTRO) SN2 6272|-28.238201400|-48.663083500|EQP0000000107049151|I01GP640|LOC0000000011976984|MDU|JOAO RIMSA (CENTRO) SN2 6272|-28.238201400|-48.663083500|||SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000193337563|78899|LOC0000000011686277|Poste|-28.241520300|-48.673184800|Aerial|Autossustentável|45.000000000|45.000000000|78997|LOC0000000011687404|Poste|-28.241768300|-48.673263300|EQP0000000193336560|I01G0814|LOC0000000011684051|Poste|79083|-28.241676000|-48.669897800|EQP0000000193337025|I01G0813|LOC0000000011687404|Poste|78997|-28.241768300|-48.673263300|ROT0000000193337455|78899 >> 78997|SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000193337563|79084|LOC0000000011684052|Poste|-28.241850500|-48.670167300|Aerial|Autossustentável|43.260000000|43.260000000|79044|LOC0000000011683477|Poste|-28.241711400|-48.670465100|EQP0000000193336560|I01G0814|LOC0000000011684051|Poste|79083|-28.241676000|-48.669897800|EQP0000000193337025|I01G0813|LOC0000000011687404|Poste|78997|-28.241768300|-48.673263300|ROT0000000193336555|79084 >> 79044|SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000193337563|79084|LOC0000000011684052|Poste|-28.241850500|-48.670167300|Aerial|Autossustentável|32.760000000|32.760000000|79083|LOC0000000011684051|Poste|-28.241676000|-48.669897800|EQP0000000193336560|I01G0814|LOC0000000011684051|Poste|79083|-28.241676000|-48.669897800|EQP0000000193337025|I01G0813|LOC0000000011687404|Poste|78997|-28.241768300|-48.673263300|ROT0000000193336554|79084 >> 79083|SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000193337563|79044|LOC0000000011683477|Poste|-28.241711400|-48.670465100|Aerial|Autossustentável|29.930000000|29.930000000|79045|LOC0000000011683478|Poste|-28.241492000|-48.670643000|EQP0000000193336560|I01G0814|LOC0000000011684051|Poste|79083|-28.241676000|-48.669897800|EQP0000000193337025|I01G0813|LOC0000000011687404|Poste|78997|-28.241768300|-48.673263300|ROT0000000193336690|79044 >> 79045|SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000193337563|79020|LOC0000000011683201|Poste|-28.241223900|-48.670860400|Aerial|Autossustentável|37.550000000|37.550000000|78890|LOC0000000011686269|Poste|-28.240955900|-48.671094500|EQP0000000193336560|I01G0814|LOC0000000011684051|Poste|79083|-28.241676000|-48.669897800|EQP0000000193337025|I01G0813|LOC0000000011687404|Poste|78997|-28.241768300|-48.673263300|ROT0000000193337454|79020 >> 78890|SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000193400109|77893|LOC0000000011613004|Poste|-28.229434800|-48.672555600|Aerial|Autossustentável|10.340000000|10.340000000|77867|LOC0000000011689895|Poste|-28.229381900|-48.672596900|EQP0000000193387984|I01-SCIMAFOSC-49|LOC0000000011613004|Poste|77893|-28.229434800|-48.672555600|EQP0000000193399756|I01G0392|LOC0000000011689894|Poste|77866|-28.229256500|-48.672856200|ROT0000000193399755|77893 >> 77867|SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000193338687|79507|LOC0000000011684353|Poste|-28.260207900|-48.694673000|Aerial|Autossustentável|37.100000000|37.100000000|79508|LOC0000000011684354|Poste|-28.260422400|-48.694963300|EQP0000000193337981|I01G01679|LOC0000000011684083|Poste|79500|-28.259905600|-48.694263900|EQP0000000193338010|I01G01678|LOC0000000011684354|Poste|79508|-28.260422400|-48.694963300|ROT0000000193338009|79507 >> 79508|SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
CBL0000000193338687|79500|LOC0000000011684083|Poste|-28.259905600|-48.694263900|Aerial|Autossustentável|52.290000000|52.290000000|79507|LOC0000000011684353|Poste|-28.260207900|-48.694673000|EQP0000000193337981|I01G01679|LOC0000000011684083|Poste|79500|-28.259905600|-48.694263900|EQP0000000193338010|I01G01678|LOC0000000011684354|Poste|79508|-28.260422400|-48.694963300|ROT0000000193338008|79500 >> 79507|SC|IMBITUBA|SCIMA_G1I01|BARRAMENTO
