UF|MUNICIPIO|ARMARIO|TIPO_REDE|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMP|COMPRIMENTO_GEOMETRICO|TIPO_EQUIP1|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|UID_EQUIPAMENTO_LOGICO_1|NOME_EQUIPAMENTO_LOGICO_1|LATITUDE_EQUIP1|LONGITUDE_EQUIP1|TIPO_EQUIP2|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|UID_EQUIPAMENTO_LOGICO_2|NOME_EQUIPAMENTO_LOGICO_2|LATITUDE_EQUIP2|LONGITUDE_EQUIP2|CE-T1|CE-T2|qtde_fibras|COMP_NORM
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552739|PT_ESSMJ68|EQP0000000070040030|ESSMJI01-SP4|EQP0000000070042259|I01GP25|1|CBL0000000070554184|FB-SP4FGPONI01GP25|DROP 12F 5MM-12|12|Em fachada;Cordoalha|162.110000000|141.380000000|511|ESSMJI01-SP4|EQP0000000070040030|EQP0000000070040030|ESSMJI01-SP4|-20.030420800|-40.740336600|515|I01GP25|EQP0000000070042259|EQP0000000070042259|I01GP25|-20.031369700|-40.739892800|SIM|NAO|1|200
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070014250|I01GP67|1|CBL0000000072203798|FB-SP9FGPONI01GP67|DROP 12F 5MM-12|12|Cordoalha;Em fachada|80.880000000|70.920000000|511|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070012400|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|-20.029806900|-40.741046300|515|I01GP67|EQP0000000070014250|EQP0000000070014250|I01GP67|-20.030229100|-40.741212800|SIM|NAO|1|100
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070015155|I01G0048|1|CBL0000000070544095|FB-SP6FGPONI01G0048|DROP 12F 5MM-12|12|Cordoalha|128.230000000|98.190000000|511|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070012400|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|-20.029806900|-40.741046300|515|I01G0048|EQP0000000070015155|EQP0000000070015155|I01G0048|-20.030493900|-40.740965200|SIM|NAO|1|150
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070016315|I01G0047|1|CBL0000000070544095|FB-SP6FGPONI01G0048|DROP 12F 5MM-12|12|Cordoalha|128.230000000|98.190000000|511|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070012400|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|-20.029806900|-40.741046300|515|I01G0048|EQP0000000070015155|EQP0000000070015155|I01G0048|-20.030493900|-40.740965200|SIM|NAO|1|150
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070016315|I01G0047|2|CBL0000000070544219|FB-SP6FGPONI01G0047|DROP 12F 5MM-12|12|Cordoalha|45.300000000|26.910000000|515|I01G0048|EQP0000000070015155|EQP0000000070015155|I01G0048|-20.030493900|-40.740965200|515|I01G0047|EQP0000000070016315|EQP0000000070016315|I01G0047|-20.030710600|-40.740848700|NAO|NAO|1|100
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070017231|I01G0046|1|CBL0000000070544095|FB-SP6FGPONI01G0048|DROP 12F 5MM-12|12|Cordoalha|128.230000000|98.190000000|511|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070012400|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|-20.029806900|-40.741046300|515|I01G0048|EQP0000000070015155|EQP0000000070015155|I01G0048|-20.030493900|-40.740965200|SIM|NAO|1|150
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070017231|I01G0046|2|CBL0000000070544219|FB-SP6FGPONI01G0047|DROP 12F 5MM-12|12|Cordoalha|45.300000000|26.910000000|515|I01G0048|EQP0000000070015155|EQP0000000070015155|I01G0048|-20.030493900|-40.740965200|515|I01G0047|EQP0000000070016315|EQP0000000070016315|I01G0047|-20.030710600|-40.740848700|NAO|NAO|1|100
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070017231|I01G0046|3|CBL0000000070544368|FB-SP6FGPONI01G0046|DROP 12F 5MM-12|12|Cordoalha|102.500000000|82.980000000|515|I01G0047|EQP0000000070016315|EQP0000000070016315|I01G0047|-20.030710600|-40.740848700|515|I01G0046|EQP0000000070017231|EQP0000000070017231|I01G0046|-20.031386900|-40.740506700|NAO|NAO|1|100
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070018111|I01G0045|1|CBL0000000070544095|FB-SP6FGPONI01G0048|DROP 12F 5MM-12|12|Cordoalha|128.230000000|98.190000000|511|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070012400|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|-20.029806900|-40.741046300|515|I01G0048|EQP0000000070015155|EQP0000000070015155|I01G0048|-20.030493900|-40.740965200|SIM|NAO|1|150
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070018111|I01G0045|2|CBL0000000070544219|FB-SP6FGPONI01G0047|DROP 12F 5MM-12|12|Cordoalha|45.300000000|26.910000000|515|I01G0048|EQP0000000070015155|EQP0000000070015155|I01G0048|-20.030493900|-40.740965200|515|I01G0047|EQP0000000070016315|EQP0000000070016315|I01G0047|-20.030710600|-40.740848700|NAO|NAO|1|100
