UF|MUNICIPIO|ARMARIO|TIPO_REDE|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|CBL0000000121386321|OK|SP1-SP7;SP30-SP44;SP55-SP78;SP96-SP101;SP128-SP144|69||0
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|CBL0000000121386326|OK|SP73-SP78;SP96-SP101;SP128-SP140|25||0
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|CBL0000000121386346|OK|SP1-SP7;SP30-SP44;SP55-SP72|40||0
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|CBL0000000121389253|OK|SP1-SP7|7||0
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|CBL0000000121389713|OK|SP73-SP78;SP96-SP101;SP128-SP134|19||0
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|CBL0000000121390424|OK|SP37-SP44;SP55-SP59|13||0
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|CBL0000000121393201|OK|SP73-SP78;SP96-SP101|12||0
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|CBL0000000121393583|OK|SP37-SP44|8||0
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|CBL0000000121398596|OK|SP73-SP78|6||0
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|CBL0000000121406197|OK|SP1-SP7;SP30-SP36|14||0
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|CBL0000000121407931|OK|SP37-SP44;SP55-SP64|18||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000091300036|OK|SP58|1||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121386587|OK|SP1-SP5|5||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121389871|OK|SP1-SP5;SP27-SP36;SP58-SP144|102||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121391703|OK|SP1-SP5;SP27-SP36;SP58-SP141|99||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121393058|OK|SP1-SP5;SP27-SP36|15||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121395177|OK|SP1-SP5;SP27-SP36;SP58-SP136|94||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121398277|OK|SP1-SP5;SP27-SP30|9||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121398543|OK|SP73-SP136|64||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121398659|OK|SP1-SP5;SP27-SP36;SP58-SP72|30||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121403007|OK|SP73-SP76|4||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121406977|OK|SP73-SP76;SP104-SP108|9||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121407007|OK|SP109-SP133|25||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121409594|OK|SP58;SP65-SP68|5||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121409689|OK|SP1-SP5;SP27-SP36;SP59-SP64|21||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121411117|OK|SP77-SP103|27||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121411122|OK|SP77-SP103;SP115-SP133|46||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121411127|OK|SP77-SP103;SP115-SP129|42||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121411132|OK|SP77-SP103;SP115-SP120|33||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121411137|OK|SP77-SP103;SP115-SP118|31||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121411142|OK|SP77-SP103|27||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121411147|OK|SP77-SP94|18||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121411152|OK|SP77-SP90|14||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121411157|OK|SP77-SP87|11||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121411162|OK|SP77-SP84|8||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121411167|OK|SP78-SP79|2||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121411172|OK|SP78|1||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121411237|OK|SP77|1||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121412721|OK|SP85-SP86|2||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121414306|OK|SP95-SP100|6||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121414311|OK|SP95-SP98|4||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 1|CBL0000000121416235|OK|SP121-SP125|5||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121412097|OK|SP163-SP175|13||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121412102|OK|SP167-SP171|5||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121413355|OK|SP145-SP212|68||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121413420|OK|SP145-SP212|68||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121414746|OK|SP145-SP209|65||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121414756|OK|SP145-SP204|60||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121414940|OK|SP191-SP200|10||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121414945|OK|SP191-SP196|6||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121414954|OK|SP191-SP193|3||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121422362|OK|SP145-SP190|46||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121424012|OK|SP145-SP184|40||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121424542|OK|SP163-SP166|4||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121425617|OK|SP145-SP177|33||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121426762|OK|SP176|1||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121426792|OK|SP145-SP162|18||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121426842|OK|SP145-SP161|17||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121426877|OK|SP145-SP158|14||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121426887|OK|SP145-SP151|7||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121426892|OK|SP145-SP150|6||0
PI|TERESINA|PITSA_G1I04|BARRAMENTO|TR 2|CBL0000000121430067|OK|SP152-SP156|5||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121384007|OK|SP37-SP39|3||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121385090|OK|SP1-SP59;SP61-SP65|64||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121385959|OK|SP1-SP59;SP61-SP77;SP97-SP119;SP127-SP144|117||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121387622|OK|SP1-SP34|34||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121389301|OK|SP1-SP28|28||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121391545|OK|SP1-SP59;SP61-SP77;SP97-SP119;SP127-SP142|115||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121391565|OK|SP1-SP59;SP61-SP77;SP97-SP119;SP127-SP138|111||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121393196|OK|SP115-SP119;SP127-SP138|17||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121393206|OK|SP1-SP59;SP61-SP77;SP97-SP114|94||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121393249|OK|SP115-SP119;SP127-SP133|12||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121394928|OK|SP115-SP119|5||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121403705|OK|SP1-SP59;SP61-SP77;SP97-SP112|92||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121403830|OK|SP73-SP77;SP97-SP108|17||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121403856|OK|SP1-SP59;SP61-SP72|71||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121404566|OK|SP1-SP59;SP61-SP62|61||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121406992|OK|SP73-SP77;SP97-SP104|13||0
PI|TERESINA|PITSA_G1I05|BARRAMENTO|TR 1|CBL0000000121408769|OK|SP73-SP77|5||0
