UF|MUNICIPIO|ARMARIO|TIPO_REDE|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|LATITUDE_EQUIP1|LONGITUDE_EQUIP1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|LATITUDE_EQUIP2|LONGITUDE_EQUIP2|qtde_fibras
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|Primario|LOC0000000059402114|PITSA_G1I03|EQP0000000059635632|TR 1|EQP0000000059624082|CAIXA DE EMENDA GENERICA 1701|1|CBL0000000121386321|187468_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Dutos|121.05|TR 1|EQP0000000059635632|-5.0790713|-42.8189919|CAIXA DE EMENDA GENERICA 447|EQP0000000059627064|-5.0780669|-42.8193969|7
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|Primario|LOC0000000059402114|PITSA_G1I03|EQP0000000059635632|TR 1|EQP0000000059624082|CAIXA DE EMENDA GENERICA 1701|2|CBL0000000121386346|187473_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Cordoalha;Dutos|408.22|CAIXA DE EMENDA GENERICA 447|EQP0000000059627064|-5.0780669|-42.8193969|CAIXA DE EMENDA GENERICA 1225|EQP0000000059628297|-5.0763856|-42.8161193|7
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|Primario|LOC0000000059402114|PITSA_G1I03|EQP0000000059635632|TR 1|EQP0000000059624082|CAIXA DE EMENDA GENERICA 1701|3|CBL0000000121406197|188920_CFOA-SM-AS80-S|CFOA-SM-AS80-S-36|36|Cordoalha;Dutos|565.85|CAIXA DE EMENDA GENERICA 1225|EQP0000000059628297|-5.0763856|-42.8161193|CAIXA DE EMENDA GENERICA 1535|EQP0000000059626071|-5.074064|-42.8115726|7
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|Primario|LOC0000000059402114|PITSA_G1I03|EQP0000000059635632|TR 1|EQP0000000059624082|CAIXA DE EMENDA GENERICA 1701|4|CBL0000000121389253|189407_CFOA-SM-AS80-S|CFOA-SM-AS80-S-36|36|Dutos;Cordoalha|481.73|CAIXA DE EMENDA GENERICA 1535|EQP0000000059626071|-5.074064|-42.8115726|CAIXA DE EMENDA GENERICA 1701|EQP0000000059624082|-5.0721183|-42.8077451|7
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|Primario|LOC0000000059402114|PITSA_G1I03|EQP0000000059635632|TR 1|EQP0000000059624616|CAIXA DE EMENDA GENERICA 743|1|CBL0000000121386321|187468_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Dutos|121.05|TR 1|EQP0000000059635632|-5.0790713|-42.8189919|CAIXA DE EMENDA GENERICA 447|EQP0000000059627064|-5.0780669|-42.8193969|7
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|Primario|LOC0000000059402114|PITSA_G1I03|EQP0000000059635632|TR 1|EQP0000000059624616|CAIXA DE EMENDA GENERICA 743|2|CBL0000000121386326|187469_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Cordoalha;Dutos|343.85|CAIXA DE EMENDA GENERICA 447|EQP0000000059627064|-5.0780669|-42.8193969|CAIXA DE EMENDA GENERICA 481|EQP0000000059627371|-5.0794437|-42.8221733|7
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|Primario|LOC0000000059402114|PITSA_G1I03|EQP0000000059635632|TR 1|EQP0000000059624616|CAIXA DE EMENDA GENERICA 743|3|CBL0000000121389713|187596_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Cordoalha;Dutos|272.8|CAIXA DE EMENDA GENERICA 481|EQP0000000059627371|-5.0794437|-42.8221733|CAIXA DE EMENDA GENERICA 743|EQP0000000059624616|-5.0772458|-42.8232903|7
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|Primario|LOC0000000059402114|PITSA_G1I03|EQP0000000059635632|TR 1|EQP0000000059625472|CAIXA DE EMENDA GENERICA 2002|1|CBL0000000121386321|187468_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Dutos|121.05|TR 1|EQP0000000059635632|-5.0790713|-42.8189919|CAIXA DE EMENDA GENERICA 447|EQP0000000059627064|-5.0780669|-42.8193969|5
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|Primario|LOC0000000059402114|PITSA_G1I03|EQP0000000059635632|TR 1|EQP0000000059625472|CAIXA DE EMENDA GENERICA 2002|2|CBL0000000121386346|187473_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Cordoalha;Dutos|408.22|CAIXA DE EMENDA GENERICA 447|EQP0000000059627064|-5.0780669|-42.8193969|CAIXA DE EMENDA GENERICA 1225|EQP0000000059628297|-5.0763856|-42.8161193|5
PI|TERESINA|PITSA_G1I03|BARRAMENTO|TR 1|Primario|LOC0000000059402114|PITSA_G1I03|EQP0000000059635632|TR 1|EQP0000000059625472|CAIXA DE EMENDA GENERICA 2002|3|CBL0000000121407931|189002_CFOA-SM-AS80-S|CFOA-SM-AS80-S-36|36|Dutos;Cordoalha|225.6|CAIXA DE EMENDA GENERICA 1225|EQP0000000059628297|-5.0763856|-42.8161193|CAIXA DE EMENDA GENERICA 1899|EQP0000000059630776|-5.0780384|-42.8152127|5
