UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
PI|TERESINA|CBL0000000063759996|SP134[SS8];SP135[SS1-SS3]|4||0
PI|TERESINA|CBL0000000063761051|SP134[SS8];SP135[SS1-SS2]|3||0
PI|TERESINA|CBL0000000063761583|SP134[SS8];SP135[SS1]|2||0
PI|TERESINA|CBL0000000063761908|SP134[SS8]|1||0
PI|TERESINA|CBL0000000063763267|SP136[SS8]|1||0
PI|TERESINA|CBL0000000063764255|SP137[SS6-SS8];SP138[SS1-SS2]|5||0
PI|TERESINA|CBL0000000063764751|SP137[SS6-SS8];SP138[SS1]|4||0
PI|TERESINA|CBL0000000063764841|SP137[SS6-SS8]|3||0
PI|TERESINA|CBL0000000063765012|SP137[SS6-SS7]|2||0
PI|TERESINA|CBL0000000063765245|SP137[SS6]|1||0
PI|TERESINA|CBL0000000063768475|SP139[SS7-SS8]|2||0
PI|TERESINA|CBL0000000063768752|SP139[SS7]|1||0
PI|TERESINA|CBL0000000063770673|SP189[SS1-SS8];SP190[SS1]|9||0
PI|TERESINA|CBL0000000063770953|SP189[SS1-SS8]|8||0
PI|TERESINA|CBL0000000063771201|SP189[SS1-SS7]|7||0
PI|TERESINA|CBL0000000063771575|SP189[SS1-SS6]|6||0
PI|TERESINA|CBL0000000063771767|SP189[SS1-SS5]|5||0
PI|TERESINA|CBL0000000063771911|SP189[SS1-SS4]|4||0
PI|TERESINA|CBL0000000063772222|SP189[SS1-SS3]|3||0
PI|TERESINA|CBL0000000063772410|SP189[SS1-SS2]|2||0
PI|TERESINA|CBL0000000063772504|SP189[SS1]|1||0
PI|TERESINA|CBL0000000063775543|SP190[SS3-SS8];SP191[SS1-SS3]|9||0
PI|TERESINA|CBL0000000063775870|SP190[SS3-SS8];SP191[SS1-SS2]|8||0
PI|TERESINA|CBL0000000063775992|SP190[SS3-SS8];SP191[SS1]|7||0
PI|TERESINA|CBL0000000063776146|SP190[SS3-SS8]|6||0
PI|TERESINA|CBL0000000063776306|SP190[SS3-SS7]|5||0
PI|TERESINA|CBL0000000063776487|SP190[SS3-SS6]|4||0
PI|TERESINA|CBL0000000063776673|SP190[SS3-SS5]|3||0
PI|TERESINA|CBL0000000063776821|SP190[SS3-SS4]|2||0
PI|TERESINA|CBL0000000063777115|SP190[SS3]|1||0
PI|TERESINA|CBL0000000063780269|SP70[SS8]|1||0
PI|TERESINA|CBL0000000063783027|SP5[SS6-SS8];SP6[SS1]|4||0
PI|TERESINA|CBL0000000063783372|SP5[SS6-SS8]|3||0
PI|TERESINA|CBL0000000063783720|SP5[SS6-SS7]|2||0
PI|TERESINA|CBL0000000063784060|SP5[SS6]|1||0
PI|TERESINA|CBL0000000063787664|SP100[SS1-SS8];SP99[SS7-SS8]|10||0
PI|TERESINA|CBL0000000063788298|SP100[SS1-SS7];SP99[SS7-SS8]|9||0
PI|TERESINA|CBL0000000063788373|SP100[SS1-SS6];SP99[SS7-SS8]|8||0
PI|TERESINA|CBL0000000063788721|SP100[SS1-SS5];SP99[SS7-SS8]|7||0
PI|TERESINA|CBL0000000063788785|SP100[SS1-SS4];SP99[SS7-SS8]|6||0
