UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000059634148;I17G01482;CTO - PAD TEL - B;PITSA_G1I17;QUADRA 8 TERESINA RENASCENCA 64082008 PI 5981;TERESINA;-5.0949398;-42.7404471;G0;PITSA-I17SP186;PITSA-I17SP186-SS2;TSA_I17_2_GPON_VLAN_151_152_153-ALC;1/1/1/11
EQP0000000059634148;I17G01482;CTO - PAD TEL - B;PITSA_G1I17;QUADRA 8 TERESINA RENASCENCA 64082008 PI 5981;TERESINA;-5.0949398;-42.7404471;G0;PITSA-I17SP186;PITSA-I17SP186-SS1;TSA_I17_2_GPON_VLAN_151_152_153-ALC;1/1/1/11
EQP0000000059634120;I04G01514;CTO - PAD TEL - B;PITSA_G1I04;RUA FIRMINO PIRES TERESINA VERMELHA 64018070 PI 1710;TERESINA;-5.106871;-42.809541;G0;PITSA-I04SP190;PITSA-I04SP190-SS1;TSA_I04_2_GPON_VLAN_138_139_140-ALC;1/1/2/3
EQP0000000059634120;I04G01514;CTO - PAD TEL - B;PITSA_G1I04;RUA FIRMINO PIRES TERESINA VERMELHA 64018070 PI 1710;TERESINA;-5.106871;-42.809541;G0;PITSA-I04SP190;PITSA-I04SP190-SS2;TSA_I04_2_GPON_VLAN_138_139_140-ALC;1/1/2/3
EQP0000000059634449;I17G0435;CTO - PAD TEL-B-60/40;PITSA_G1I17;QUADRA 8 TERESINA ITARARE 64077032 PI SN;TERESINA;-5.102404;-42.7651713;G0;PITSA-I17SP55;PITSA-I17SP55-SS3;TSA_I17_1_GPON_VLAN_149_150_191-ALC;1/1/4/7
EQP0000000059634449;I17G0435;CTO - PAD TEL-B-60/40;PITSA_G1I17;QUADRA 8 TERESINA ITARARE 64077032 PI SN;TERESINA;-5.102404;-42.7651713;G0;PITSA-I17SP55;PITSA-I17SP55-SS2;TSA_I17_1_GPON_VLAN_149_150_191-ALC;1/1/4/7
EQP0000000059633574;I04G01059;CTO - PAD TEL-B-70/30;PITSA_G1I04;RUA VINTE QUATRO DE JANEIRO TERESINA NOSSA SENHORA DAS GRACAS 64018650 PI 973;TERESINA;-5.098548;-42.8077525;G0;PITSA-I04SP133;PITSA-I04SP133-SS2;TSA_I04_1_GPON_VLAN_106_107_108-ALC;1/1/7/5
EQP0000000059633574;I04G01059;CTO - PAD TEL-B-70/30;PITSA_G1I04;RUA VINTE QUATRO DE JANEIRO TERESINA NOSSA SENHORA DAS GRACAS 64018650 PI 973;TERESINA;-5.098548;-42.8077525;G0;PITSA-I04SP133;PITSA-I04SP133-SS3;TSA_I04_1_GPON_VLAN_106_107_108-ALC;1/1/7/5
EQP0000000059625082;I19G0974;CTO - PAD TEL-B-70/30;PITSA_G1I19;RUA BRITO MELO TERESINA LOURIVAL PARENTE 64023480 PI 1861;TERESINA;-5.1341507;-42.7865346;G0;PITSA-I19SP122;PITSA-I19SP122-SS5;TSA_I19_1_GPON_VLAN_112_113_114-ALC;1/1/7/4
EQP0000000059625082;I19G0974;CTO - PAD TEL-B-70/30;PITSA_G1I19;RUA BRITO MELO TERESINA LOURIVAL PARENTE 64023480 PI 1861;TERESINA;-5.1341507;-42.7865346;G0;PITSA-I19SP122;PITSA-I19SP122-SS6;TSA_I19_1_GPON_VLAN_112_113_114-ALC;1/1/7/4
EQP0000000059624456;I19G0730;CTO - PAD TEL - B;PITSA_G1I19;RUA DA GAVEA TERESINA BELA VISTA 64000001 PI 2752;TERESINA;-5.1343902;-42.7723614;G0;PITSA-I19SP92;PITSA-I19SP92-SS2;TSA_I19_1_GPON_VLAN_112_113_114-ALC;1/1/5/14
EQP0000000059624456;I19G0730;CTO - PAD TEL - B;PITSA_G1I19;RUA DA GAVEA TERESINA BELA VISTA 64000001 PI 2752;TERESINA;-5.1343902;-42.7723614;G0;PITSA-I19SP92;PITSA-I19SP92-SS1;TSA_I19_1_GPON_VLAN_112_113_114-ALC;1/1/5/14
EQP0000000059634352;I18G0994;CTO - PAD TEL - B;PITSA_G1I18;RUA SANTO ANDRE TERESINA NOVO HORIZONTE 64079095 PI 4176;TERESINA;-5.1132116;-42.7522511;G0;PITSA-I18SP125;PITSA-I18SP125-SS1;TSA_I18_1_GPON_VLAN_142_143_144-ALC;1/1/5/7
EQP0000000059634352;I18G0994;CTO - PAD TEL - B;PITSA_G1I18;RUA SANTO ANDRE TERESINA NOVO HORIZONTE 64079095 PI 4176;TERESINA;-5.1132116;-42.7522511;G0;PITSA-I18SP125;PITSA-I18SP125-SS2;TSA_I18_1_GPON_VLAN_142_143_144-ALC;1/1/5/7
EQP0000000059631456;I04G01659;CTO - PAD TEL-B-60/40;PITSA_G1I04;RUA JOAO CABRAL TERESINA VERMELHA 64018030 PI SN;TERESINA;-5.1062805;-42.8111745;G0;PITSA-I04SP208;PITSA-I04SP208-SS2;TSA_I04_2_GPON_VLAN_138_139_140-ALC;1/1/3/5
