UF|MUNICIPIO|ARMARIO|TIPO_REDE|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|LATITUDE_EQUIP1|LONGITUDE_EQUIP1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|LATITUDE_EQUIP2|LONGITUDE_EQUIP2|qtde_fibras
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995152|CAIXA DE EMENDA GENERICA 4|1|CBL0000000021243813|44178_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Dutos|22.880000000|TR 1|EQP0000000011995613|-29.997462800|-50.136304200|CAIXA DE EMENDA GENERICA 1|EQP0000000012003258|-29.997287000|-50.136180000|2
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995152|CAIXA DE EMENDA GENERICA 4|2|CBL0000000021243988|44213_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Dutos|40.150000000|CAIXA DE EMENDA GENERICA 1|EQP0000000012003258|-29.997287000|-50.136180000|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|-29.997044300|-50.136142600|2
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995152|CAIXA DE EMENDA GENERICA 4|3|CBL0000000021243893|44194_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Cordoalha;Dutos|434.590000000|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|-29.997044300|-50.136142600|CAIXA DE EMENDA GENERICA 13|EQP0000000011995332|-29.996847400|-50.132952100|2
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995152|CAIXA DE EMENDA GENERICA 4|4|CBL0000000021243888|44193_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Dutos;Cordoalha|220.200000000|CAIXA DE EMENDA GENERICA 13|EQP0000000011995332|-29.996847400|-50.132952100|CAIXA DE EMENDA GENERICA 33|EQP0000000012001783|-29.995203200|-50.131694300|2
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995152|CAIXA DE EMENDA GENERICA 4|5|CBL0000000021243898|44195_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Cordoalha;Dutos|124.090000000|CAIXA DE EMENDA GENERICA 33|EQP0000000012001783|-29.995203200|-50.131694300|CAIXA DE EMENDA GENERICA 44|EQP0000000011995536|-29.994515800|-50.132343500|2
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995152|CAIXA DE EMENDA GENERICA 4|6|CBL0000000021243918|44199_CFOA-SM-AS-80S|CFOA-SM-AS-80S-72|72|Dutos;Cordoalha|530.420000000|CAIXA DE EMENDA GENERICA 44|EQP0000000011995536|-29.994515800|-50.132343500|CAIXA DE EMENDA GENERICA 4|EQP0000000011995152|-29.990523200|-50.129316100|2
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995153|CAIXA DE EMENDA GENERICA 5|1|CBL0000000021243813|44178_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Dutos|22.880000000|TR 1|EQP0000000011995613|-29.997462800|-50.136304200|CAIXA DE EMENDA GENERICA 1|EQP0000000012003258|-29.997287000|-50.136180000|2
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995153|CAIXA DE EMENDA GENERICA 5|2|CBL0000000021243988|44213_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Dutos|40.150000000|CAIXA DE EMENDA GENERICA 1|EQP0000000012003258|-29.997287000|-50.136180000|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|-29.997044300|-50.136142600|2
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995153|CAIXA DE EMENDA GENERICA 5|3|CBL0000000021243893|44194_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Cordoalha;Dutos|434.590000000|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|-29.997044300|-50.136142600|CAIXA DE EMENDA GENERICA 13|EQP0000000011995332|-29.996847400|-50.132952100|2
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995153|CAIXA DE EMENDA GENERICA 5|4|CBL0000000021243888|44193_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Dutos;Cordoalha|220.200000000|CAIXA DE EMENDA GENERICA 13|EQP0000000011995332|-29.996847400|-50.132952100|CAIXA DE EMENDA GENERICA 33|EQP0000000012001783|-29.995203200|-50.131694300|2
