UF|MUNICIPIO|ARMARIO|TIPO_REDE|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMP|COMPRIMENTO_GEOMETRICO|TIPO_EQUIP1|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|UID_EQUIPAMENTO_LOGICO_1|NOME_EQUIPAMENTO_LOGICO_1|LATITUDE_EQUIP1|LONGITUDE_EQUIP1|TIPO_EQUIP2|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|UID_EQUIPAMENTO_LOGICO_2|NOME_EQUIPAMENTO_LOGICO_2|LATITUDE_EQUIP2|LONGITUDE_EQUIP2|CE-T1|CE-T2|qtde_fibras|COMP_NORM
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995161|M01G0575|1|CBL0000000021245417|44228_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha;Dutos|116.000000000|99.610000000|511|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|-29.997044300|-50.136142600|515|M01G0576|EQP0000000012003257|EQP0000000012003257|M01G0576|-29.996295100|-50.135572700|SIM|NAO|1|99.610000000
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995161|M01G0575|2|CBL0000000021252650|44576_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha|153.000000000|136.530000000|515|M01G0576|EQP0000000012003257|EQP0000000012003257|M01G0576|-29.996295100|-50.135572700|515|M01G0575|EQP0000000011995161|EQP0000000011995161|M01G0575|-29.995339800|-50.135383100|NAO|NAO|1|136.530000000
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995318|M01G0561|1|CBL0000000021245417|44228_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha;Dutos|116.000000000|99.610000000|511|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|-29.997044300|-50.136142600|515|M01G0576|EQP0000000012003257|EQP0000000012003257|M01G0576|-29.996295100|-50.135572700|SIM|NAO|1|99.610000000
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995318|M01G0561|2|CBL0000000021252650|44576_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha|153.000000000|136.530000000|515|M01G0576|EQP0000000012003257|EQP0000000012003257|M01G0576|-29.996295100|-50.135572700|515|M01G0575|EQP0000000011995161|EQP0000000011995161|M01G0575|-29.995339800|-50.135383100|NAO|NAO|1|136.530000000
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995318|M01G0561|3|CBL0000000021254432|44665_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha|97.000000000|80.130000000|515|M01G0575|EQP0000000011995161|EQP0000000011995161|M01G0575|-29.995339800|-50.135383100|515|M01G0568|EQP0000000011995322|EQP0000000011995322|M01G0568|-29.994732200|-50.135321900|NAO|NAO|1|80.130000000
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995318|M01G0561|4|CBL0000000021249032|44401_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha|149.000000000|132.350000000|515|M01G0568|EQP0000000011995322|EQP0000000011995322|M01G0568|-29.994732200|-50.135321900|515|M01G0567|EQP0000000011995321|EQP0000000011995321|M01G0567|-29.993746300|-50.134548300|NAO|NAO|1|132.350000000
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995318|M01G0561|5|CBL0000000021249182|44431_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|200.000000000|183.670000000|515|M01G0567|EQP0000000011995321|EQP0000000011995321|M01G0567|-29.993746300|-50.134548300|515|M01G0566|EQP0000000011995320|EQP0000000011995320|M01G0566|-29.992383800|-50.133468900|NAO|NAO|1|183.670000000
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995318|M01G0561|6|CBL0000000021249187|44432_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|246.000000000|229.590000000|515|M01G0566|EQP0000000011995320|EQP0000000011995320|M01G0566|-29.992383800|-50.133468900|515|M01G0562|EQP0000000011995319|EQP0000000011995319|M01G0562|-29.990673400|-50.132127300|NAO|NAO|1|229.590000000
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995318|M01G0561|7|CBL0000000021249057|44406_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|135.000000000|118.430000000|515|M01G0562|EQP0000000011995319|EQP0000000011995319|M01G0562|-29.990673400|-50.132127300|515|M01G0561|EQP0000000011995318|EQP0000000011995318|M01G0561|-29.989771200|-50.131470000|NAO|NAO|1|118.430000000
RS|TRAMANDAI|RSTRI_G1M01|MULTIFIBRA|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995319|M01G0562|1|CBL0000000021245417|44228_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha;Dutos|116.000000000|99.610000000|511|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|-29.997044300|-50.136142600|515|M01G0576|EQP0000000012003257|EQP0000000012003257|M01G0576|-29.996295100|-50.135572700|SIM|NAO|1|99.610000000
