UF|MUNICIPIO|ARMARIO|TIPO_REDE|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMP|COMPRIMENTO_GEOMETRICO|TIPO_EQUIP1|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|UID_EQUIPAMENTO_LOGICO_1|NOME_EQUIPAMENTO_LOGICO_1|LATITUDE_EQUIP1|LONGITUDE_EQUIP1|TIPO_EQUIP2|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|UID_EQUIPAMENTO_LOGICO_2|NOME_EQUIPAMENTO_LOGICO_2|LATITUDE_EQUIP2|LONGITUDE_EQUIP2|CE-T1|CE-T2|qtde_fibras|COMP_NORM
RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101191|I01G0456|1|CBL0000000002750305|RSUGN-I01-SP057F1I01G0456|DROP 12F|12|Autossustentável|37.660000000|21.660000000|511|RSUGNFOSC-13|EQP0000000002341671|EQP0000000002341671|RSUGNFOSC-13|-29.769386900|-57.087802800|515|I01G0456|EQP0000000002101191|EQP0000000002101191|I01G0456|-29.769568700|-57.087720600|SIM|NAO|1|100
RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101218|I01G0455|1|CBL0000000002750305|RSUGN-I01-SP057F1I01G0456|DROP 12F|12|Autossustentável|37.660000000|21.660000000|511|RSUGNFOSC-13|EQP0000000002341671|EQP0000000002341671|RSUGNFOSC-13|-29.769386900|-57.087802800|515|I01G0456|EQP0000000002101191|EQP0000000002101191|I01G0456|-29.769568700|-57.087720600|SIM|NAO|1|100
RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101218|I01G0455|2|CBL0000000002101551|RSUGN-I01-SP057F1I01G0455|DROP 12F|12|Autossustentável|117.280000000|101.280000000|515|I01G0455|EQP0000000002101218|EQP0000000002101218|I01G0455|-29.769966800|-57.087102100|515|I01G0456|EQP0000000002101191|EQP0000000002101191|I01G0456|-29.769568700|-57.087720600|NAO|NAO|1|150
RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101245|I01G0454|1|CBL0000000002750305|RSUGN-I01-SP057F1I01G0456|DROP 12F|12|Autossustentável|37.660000000|21.660000000|511|RSUGNFOSC-13|EQP0000000002341671|EQP0000000002341671|RSUGNFOSC-13|-29.769386900|-57.087802800|515|I01G0456|EQP0000000002101191|EQP0000000002101191|I01G0456|-29.769568700|-57.087720600|SIM|NAO|1|100
RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101245|I01G0454|2|CBL0000000002101551|RSUGN-I01-SP057F1I01G0455|DROP 12F|12|Autossustentável|117.280000000|101.280000000|515|I01G0455|EQP0000000002101218|EQP0000000002101218|I01G0455|-29.769966800|-57.087102100|515|I01G0456|EQP0000000002101191|EQP0000000002101191|I01G0456|-29.769568700|-57.087720600|NAO|NAO|1|150
RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101245|I01G0454|3|CBL0000000002101550|RSUGN-I01-SP057F1I01G0454|DROP 12F|12|Autossustentável|127.280000000|111.280000000|515|I01G0455|EQP0000000002101218|EQP0000000002101218|I01G0455|-29.769966800|-57.087102100|515|I01G0454|EQP0000000002101245|EQP0000000002101245|I01G0454|-29.769562600|-57.086433900|NAO|NAO|1|150
RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101272|I01G0453|1|CBL0000000002750305|RSUGN-I01-SP057F1I01G0456|DROP 12F|12|Autossustentável|37.660000000|21.660000000|511|RSUGNFOSC-13|EQP0000000002341671|EQP0000000002341671|RSUGNFOSC-13|-29.769386900|-57.087802800|515|I01G0456|EQP0000000002101191|EQP0000000002101191|I01G0456|-29.769568700|-57.087720600|SIM|NAO|1|100
RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101272|I01G0453|2|CBL0000000002101551|RSUGN-I01-SP057F1I01G0455|DROP 12F|12|Autossustentável|117.280000000|101.280000000|515|I01G0455|EQP0000000002101218|EQP0000000002101218|I01G0455|-29.769966800|-57.087102100|515|I01G0456|EQP0000000002101191|EQP0000000002101191|I01G0456|-29.769568700|-57.087720600|NAO|NAO|1|150
RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101272|I01G0453|3|CBL0000000002101550|RSUGN-I01-SP057F1I01G0454|DROP 12F|12|Autossustentável|127.280000000|111.280000000|515|I01G0455|EQP0000000002101218|EQP0000000002101218|I01G0455|-29.769966800|-57.087102100|515|I01G0454|EQP0000000002101245|EQP0000000002101245|I01G0454|-29.769562600|-57.086433900|NAO|NAO|1|150
RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101272|I01G0453|4|CBL0000000002101506|RSUGN-I01-SP057F1I01G0453|DROP 12F|12|Autossustentável|103.980000000|87.980000000|515|I01G0453|EQP0000000002101272|EQP0000000002101272|I01G0453|-29.770150100|-57.086152900|515|I01G0454|EQP0000000002101245|EQP0000000002101245|I01G0454|-29.769562600|-57.086433900|NAO|NAO|1|100
