IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UUID_TRACADO|TRACADO_ETIQUETA|UF|MUNICIPIO|ARMARIO|TIPO_REDE
CBL0000000071382778|||||||||||||||EQP0000000009741998|I01GP1628|LOC0000000002181510|MDU|1882_97501828|-29.756430300|-57.094660500|EQP0000000071382077|I01GP1627|LOC0000000002181510|MDU|1882_97501828|-29.756430300|-57.094660500|||RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000071382853|||||||||||||||EQP0000000071382077|I01GP1627|LOC0000000002181510|MDU|1882_97501828|-29.756430300|-57.094660500|EQP0000000071382255|I01GP1626|LOC0000000002181510|MDU|1882_97501828|-29.756430300|-57.094660500|||RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000015250040|||||||||||||||EQP0000000015229582|I01GP477|LOC0000000002211875|MDU|2530_97502788|-29.766891300|-57.088177600|EQP0000000015234139|I01GP476|LOC0000000002211875|MDU|2530_97502788|-29.766891300|-57.088177600|||RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000035096921|||||||||||||||EQP0000000014760608|I01GP1195|LOC0000000002203629|MDU|3126_97501620|-29.751109000|-57.081916800|EQP0000000035096063|I01GP1194|LOC0000000002203629|MDU|3126_97501620|-29.751109000|-57.081916800|||RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000035202066|||||||||||||||EQP0000000016118848|I01GP1858|LOC0000000002165161|MDU|1872_97501760|-29.758595400|-57.095349400|EQP0000000035193692|I01GP1857|LOC0000000002165161|MDU|1872_97501760|-29.758595400|-57.095349400|||RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000071357442|||||||||||||||EQP0000000071332026|I01GP1819|LOC0000000002179787|MDU|1853_97501840|-29.756013000|-57.091084400|EQP0000000071332112|I01GP1818|LOC0000000002179787|MDU|1853_97501840|-29.756013000|-57.091084400|||RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000235884492|||||||||||||||EQP0000000235884224|I01GP1736|LOC0000000230948309|MDU|EDIFICIO ROLO INN_1888|-29.756211200|-57.080139900|EQP0000000235883936|I01GP1735|LOC0000000230948309|MDU|EDIFICIO ROLO INN_1888|-29.756211200|-57.080139900|||RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000017494058|||||||||||||||EQP0000000002372939|RSUGNHUB-30|LOC0000000001796029|Poste|PT656|-29.763918300|-57.073408300|EQP0000000017493994|I01GPF928|LOC0000000001796029|Poste|PT656|-29.763918300|-57.073408300|||RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002098945|PT1288|LOC0000000001797290|Poste|-29.757002500|-57.083143900|Aerial|Autossustentável|25.370000000|25.370000000|PT1289|LOC0000000001797292|Poste|-29.756773600|-57.083146400|EQP0000000002098684|I01G01778|LOC0000000001797296|Poste|PT1291|-29.757305800|-57.083138200|EQP0000000002098713|I01G01777|LOC0000000001797304|Poste|PT1295|-29.756110700|-57.083148600|ROT0000000002052553|PT1288 >> PT1289|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002098945|PT1289|LOC0000000001797292|Poste|-29.756773600|-57.083146400|Aerial|Autossustentável|38.640000000|38.640000000|PT1294|LOC0000000001797302|Poste|-29.756425000|-57.083147600|EQP0000000002098684|I01G01778|LOC0000000001797296|Poste|PT1291|-29.757305800|-57.083138200|EQP0000000002098713|I01G01777|LOC0000000001797304|Poste|PT1295|-29.756110700|-57.083148600|ROT0000000002052587|PT1289 >> PT1294|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
