UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004471857|ESVIA-I01-SP219|1|CBL0000000005084204|BR-ESVIA01F1ESVIA-I01-CEO59|CFOA-SM-AS-80G-144|144|Dutos|8.190000000|BR-ESVIA01-DGO1|EQP0000000007934436|ESVIA-I01-CEO59|EQP0000000005082476|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004471857|ESVIA-I01-SP219|2|CBL0000000005105746|BR-ESVIA01F1ESVIA-I01-SP219|CFOA-SM-AS-80G-144|144|Dutos|10.560000000|ESVIA-I01-CEO59|EQP0000000005082476|ESVIA-I01-SP219|EQP0000000004471857|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004475541|ESVIA-I01-SP217-SP218|1|CBL0000000005084204|BR-ESVIA01F1ESVIA-I01-CEO59|CFOA-SM-AS-80G-144|144|Dutos|8.190000000|BR-ESVIA01-DGO1|EQP0000000007934436|ESVIA-I01-CEO59|EQP0000000005082476|2
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004475541|ESVIA-I01-SP217-SP218|2|CBL0000000005105746|BR-ESVIA01F1ESVIA-I01-SP219|CFOA-SM-AS-80G-144|144|Dutos|10.560000000|ESVIA-I01-CEO59|EQP0000000005082476|ESVIA-I01-SP219|EQP0000000004471857|2
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004475541|ESVIA-I01-SP217-SP218|3|CBL0000000005106175|BR-ESVIA01F1ESVIA-I01-CEO57|CFOA-SM-AS-80G-144|144|Cordoalha|356.240000000|ESVIA-I01-SP219|EQP0000000004471857|ESVIA-I01-CEO57|EQP0000000005059266|2
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004475541|ESVIA-I01-SP217-SP218|4|CBL0000000005106663|BR-ESVIA01F1ESVIA-I01-SP217-SP218|DROP 12F|12|Cordoalha|223.990000000|ESVIA-I01-CEO57|EQP0000000005059266|ESVIA-I01-SP217-SP218|EQP0000000004475541|2
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004481848|ESVIA-I01-SP216|1|CBL0000000005084204|BR-ESVIA01F1ESVIA-I01-CEO59|CFOA-SM-AS-80G-144|144|Dutos|8.190000000|BR-ESVIA01-DGO1|EQP0000000007934436|ESVIA-I01-CEO59|EQP0000000005082476|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004481848|ESVIA-I01-SP216|2|CBL0000000005105746|BR-ESVIA01F1ESVIA-I01-SP219|CFOA-SM-AS-80G-144|144|Dutos|10.560000000|ESVIA-I01-CEO59|EQP0000000005082476|ESVIA-I01-SP219|EQP0000000004471857|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004481848|ESVIA-I01-SP216|3|CBL0000000005106175|BR-ESVIA01F1ESVIA-I01-CEO57|CFOA-SM-AS-80G-144|144|Cordoalha|356.240000000|ESVIA-I01-SP219|EQP0000000004471857|ESVIA-I01-CEO57|EQP0000000005059266|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004481848|ESVIA-I01-SP216|4|CBL0000000005107013|BR-ESVIA01F1ESVIA-I01-SP216|CFOA-SM-AS-80G-144|144|Cordoalha|103.440000000|ESVIA-I01-CEO57|EQP0000000005059266|ESVIA-I01-SP216|EQP0000000004481848|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004488698|ESVIA-I01-SP209-SP210-SP211|1|CBL0000000005084204|BR-ESVIA01F1ESVIA-I01-CEO59|CFOA-SM-AS-80G-144|144|Dutos|8.190000000|BR-ESVIA01-DGO1|EQP0000000007934436|ESVIA-I01-CEO59|EQP0000000005082476|3
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004488698|ESVIA-I01-SP209-SP210-SP211|2|CBL0000000005105746|BR-ESVIA01F1ESVIA-I01-SP219|CFOA-SM-AS-80G-144|144|Dutos|10.560000000|ESVIA-I01-CEO59|EQP0000000005082476|ESVIA-I01-SP219|EQP0000000004471857|3
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004488698|ESVIA-I01-SP209-SP210-SP211|3|CBL0000000005106175|BR-ESVIA01F1ESVIA-I01-CEO57|CFOA-SM-AS-80G-144|144|Cordoalha|356.240000000|ESVIA-I01-SP219|EQP0000000004471857|ESVIA-I01-CEO57|EQP0000000005059266|3
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004488698|ESVIA-I01-SP209-SP210-SP211|4|CBL0000000005107013|BR-ESVIA01F1ESVIA-I01-SP216|CFOA-SM-AS-80G-144|144|Cordoalha|103.440000000|ESVIA-I01-CEO57|EQP0000000005059266|ESVIA-I01-SP216|EQP0000000004481848|3
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004488698|ESVIA-I01-SP209-SP210-SP211|5|CBL0000000005117712|BR-ESVIA01F1ESVIA-I01-SP212-SP213-SP214-SP215|CFOA-SM-AS-80G-72|72|Cordoalha;Dutos|357.930000000|ESVIA-I01-SP216|EQP0000000004481848|ESVIA-I01-SP212-SP213-SP214-SP215|EQP0000000004491160|3
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004488698|ESVIA-I01-SP209-SP210-SP211|6|CBL0000000005118346|BR-ESVIA01F1ESVIA-I01-SP209-SP210-SP211|DROP 12F|12|Cordoalha|183.720000000|ESVIA-I01-SP212-SP213-SP214-SP215|EQP0000000004491160|ESVIA-I01-SP209-SP210-SP211|EQP0000000004488698|3
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004491160|ESVIA-I01-SP212-SP213-SP214-SP215|1|CBL0000000005084204|BR-ESVIA01F1ESVIA-I01-CEO59|CFOA-SM-AS-80G-144|144|Dutos|8.190000000|BR-ESVIA01-DGO1|EQP0000000007934436|ESVIA-I01-CEO59|EQP0000000005082476|4
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004491160|ESVIA-I01-SP212-SP213-SP214-SP215|2|CBL0000000005105746|BR-ESVIA01F1ESVIA-I01-SP219|CFOA-SM-AS-80G-144|144|Dutos|10.560000000|ESVIA-I01-CEO59|EQP0000000005082476|ESVIA-I01-SP219|EQP0000000004471857|4
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004491160|ESVIA-I01-SP212-SP213-SP214-SP215|3|CBL0000000005106175|BR-ESVIA01F1ESVIA-I01-CEO57|CFOA-SM-AS-80G-144|144|Cordoalha|356.240000000|ESVIA-I01-SP219|EQP0000000004471857|ESVIA-I01-CEO57|EQP0000000005059266|4
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004491160|ESVIA-I01-SP212-SP213-SP214-SP215|4|CBL0000000005107013|BR-ESVIA01F1ESVIA-I01-SP216|CFOA-SM-AS-80G-144|144|Cordoalha|103.440000000|ESVIA-I01-CEO57|EQP0000000005059266|ESVIA-I01-SP216|EQP0000000004481848|4
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004491160|ESVIA-I01-SP212-SP213-SP214-SP215|5|CBL0000000005117712|BR-ESVIA01F1ESVIA-I01-SP212-SP213-SP214-SP215|CFOA-SM-AS-80G-72|72|Cordoalha;Dutos|357.930000000|ESVIA-I01-SP216|EQP0000000004481848|ESVIA-I01-SP212-SP213-SP214-SP215|EQP0000000004491160|4
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004502158|ESVIA-I01-SP202-SP203-SP204-SP205-SP206|1|CBL0000000005084204|BR-ESVIA01F1ESVIA-I01-CEO59|CFOA-SM-AS-80G-144|144|Dutos|8.190000000|BR-ESVIA01-DGO1|EQP0000000007934436|ESVIA-I01-CEO59|EQP0000000005082476|5
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004502158|ESVIA-I01-SP202-SP203-SP204-SP205-SP206|2|CBL0000000005105746|BR-ESVIA01F1ESVIA-I01-SP219|CFOA-SM-AS-80G-144|144|Dutos|10.560000000|ESVIA-I01-CEO59|EQP0000000005082476|ESVIA-I01-SP219|EQP0000000004471857|5
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004502158|ESVIA-I01-SP202-SP203-SP204-SP205-SP206|3|CBL0000000005106175|BR-ESVIA01F1ESVIA-I01-CEO57|CFOA-SM-AS-80G-144|144|Cordoalha|356.240000000|ESVIA-I01-SP219|EQP0000000004471857|ESVIA-I01-CEO57|EQP0000000005059266|5
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004502158|ESVIA-I01-SP202-SP203-SP204-SP205-SP206|4|CBL0000000005107013|BR-ESVIA01F1ESVIA-I01-SP216|CFOA-SM-AS-80G-144|144|Cordoalha|103.440000000|ESVIA-I01-CEO57|EQP0000000005059266|ESVIA-I01-SP216|EQP0000000004481848|5
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004502158|ESVIA-I01-SP202-SP203-SP204-SP205-SP206|5|CBL0000000005117712|BR-ESVIA01F1ESVIA-I01-SP212-SP213-SP214-SP215|CFOA-SM-AS-80G-72|72|Cordoalha;Dutos|357.930000000|ESVIA-I01-SP216|EQP0000000004481848|ESVIA-I01-SP212-SP213-SP214-SP215|EQP0000000004491160|5
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004502158|ESVIA-I01-SP202-SP203-SP204-SP205-SP206|6|CBL0000000005118903|BR-ESVIA01F1ESVIA-I01-SP207-SP208|CFOA-SM-AS-80G-72|72|Cordoalha|211.940000000|ESVIA-I01-SP212-SP213-SP214-SP215|EQP0000000004491160|ESVIA-I01-SP207-SP208|EQP0000000004679924|5
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Primario|LOC0000000003964532|ESVIA_G1I01|EQP0000000007934436|BR-ESVIA01-DGO1|EQP0000000004502158|ESVIA-I01-SP202-SP203-SP204-SP205-SP206|7|CBL0000000005119212|BR-ESVIA01F1ESVIA-I01-CEO51|CFOA-SM-AS-80G-36|36|Cordoalha|69.660000000|ESVIA-I01-SP207-SP208|EQP0000000004679924|ESVIA-I01-CEO51|EQP0000000005069756|5
