UF|MUNICIPIO|ARMARIO|TIPO_REDE|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMP|COMPRIMENTO_GEOMETRICO|TIPO_EQUIP1|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|UID_EQUIPAMENTO_LOGICO_1|NOME_EQUIPAMENTO_LOGICO_1|LATITUDE_EQUIP1|LONGITUDE_EQUIP1|TIPO_EQUIP2|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|UID_EQUIPAMENTO_LOGICO_2|NOME_EQUIPAMENTO_LOGICO_2|LATITUDE_EQUIP2|LONGITUDE_EQUIP2|CE-T1|CE-T2|qtde_fibras|COMP_NORM
ES|VIANA|ESVIA_G1I01|BARRAMENTO|BR-ESVIA01-DGO1|Secundario|LOC0000000003953998|PT_ESVIA2029|EQP0000000004481848|ESVIA-I01-SP216|EQP0000000004482229|I01G01728|1|CBL0000000004675134|ESVIA-I01-SP216F1I01G01728|DROP 12F|12|Cordoalha|162.100000000|146.050000000|511|ESVIA-I01-SP216|EQP0000000004481848|EQP0000000004481848|ESVIA-I01-SP216|-20.351978700|-40.423225800|515|I01G01728|EQP0000000004482229|EQP0000000004482229|I01G01728|-20.352790200|-40.422123000|SIM|NAO|1|200
ES|VIANA|ESVIA_G1I01|BARRAMENTO|BR-ESVIA01-DGO1|Secundario|LOC0000000003953998|PT_ESVIA2029|EQP0000000004481848|ESVIA-I01-SP216|EQP0000000004482730|I01G01727|1|CBL0000000004675134|ESVIA-I01-SP216F1I01G01728|DROP 12F|12|Cordoalha|162.100000000|146.050000000|511|ESVIA-I01-SP216|EQP0000000004481848|EQP0000000004481848|ESVIA-I01-SP216|-20.351978700|-40.423225800|515|I01G01728|EQP0000000004482229|EQP0000000004482229|I01G01728|-20.352790200|-40.422123000|SIM|NAO|1|200
ES|VIANA|ESVIA_G1I01|BARRAMENTO|BR-ESVIA01-DGO1|Secundario|LOC0000000003953998|PT_ESVIA2029|EQP0000000004481848|ESVIA-I01-SP216|EQP0000000004482730|I01G01727|2|CBL0000000004675228|ESVIA-I01-SP216F1I01G01727|DROP 12F|12|Cordoalha|344.400000000|328.440000000|515|I01G01728|EQP0000000004482229|EQP0000000004482229|I01G01728|-20.352790200|-40.422123000|515|I01G01727|EQP0000000004482730|EQP0000000004482730|I01G01727|-20.352903000|-40.424509800|NAO|NAO|1|400
ES|VIANA|ESVIA_G1I01|BARRAMENTO|BR-ESVIA01-DGO1|Secundario|LOC0000000003953998|PT_ESVIA2029|EQP0000000004481848|ESVIA-I01-SP216|EQP0000000004483643|I01G01726|1|CBL0000000004675134|ESVIA-I01-SP216F1I01G01728|DROP 12F|12|Cordoalha|162.100000000|146.050000000|511|ESVIA-I01-SP216|EQP0000000004481848|EQP0000000004481848|ESVIA-I01-SP216|-20.351978700|-40.423225800|515|I01G01728|EQP0000000004482229|EQP0000000004482229|I01G01728|-20.352790200|-40.422123000|SIM|NAO|1|200
ES|VIANA|ESVIA_G1I01|BARRAMENTO|BR-ESVIA01-DGO1|Secundario|LOC0000000003953998|PT_ESVIA2029|EQP0000000004481848|ESVIA-I01-SP216|EQP0000000004483643|I01G01726|2|CBL0000000004675228|ESVIA-I01-SP216F1I01G01727|DROP 12F|12|Cordoalha|344.400000000|328.440000000|515|I01G01728|EQP0000000004482229|EQP0000000004482229|I01G01728|-20.352790200|-40.422123000|515|I01G01727|EQP0000000004482730|EQP0000000004482730|I01G01727|-20.352903000|-40.424509800|NAO|NAO|1|400
ES|VIANA|ESVIA_G1I01|BARRAMENTO|BR-ESVIA01-DGO1|Secundario|LOC0000000003953998|PT_ESVIA2029|EQP0000000004481848|ESVIA-I01-SP216|EQP0000000004483643|I01G01726|3|CBL0000000004675278|ESVIA-I01-SP216F1I01G01726|DROP 12F|12|Cordoalha|90.800000000|74.800000000|515|I01G01727|EQP0000000004482730|EQP0000000004482730|I01G01727|-20.352903000|-40.424509800|515|I01G01726|EQP0000000004483643|EQP0000000004483643|I01G01726|-20.352732200|-40.425202900|NAO|NAO|1|100
ES|VIANA|ESVIA_G1I01|BARRAMENTO|BR-ESVIA01-DGO1|Secundario|LOC0000000003954008|PT_ESVIA103|EQP0000000004521056|ESVIA-I01-SP198-SP199-SP200-SP201|EQP0000000004523698|I01G01593|2|CBL0000000004704010|ESVIA-I01-SP200F1I01G01599|DROP 12F|12|Cordoalha|89.470000000|73.480000000|515|I01G01600|EQP0000000004525474|EQP0000000004525474|I01G01600|-20.346666600|-40.424831500|515|I01G01599|EQP0000000004525123|EQP0000000004525123|I01G01599|-20.346048000|-40.424788800|NAO|NAO|1|100
ES|VIANA|ESVIA_G1I01|BARRAMENTO|BR-ESVIA01-DGO1|Secundario|LOC0000000003954008|PT_ESVIA103|EQP0000000004521056|ESVIA-I01-SP198-SP199-SP200-SP201|EQP0000000004523698|I01G01593|3|CBL0000000004704247|ESVIA-I01-SP200F1I01G01598|DROP 12F|12|Cordoalha|81.700000000|65.760000000|515|I01G01599|EQP0000000004525123|EQP0000000004525123|I01G01599|-20.346048000|-40.424788800|515|I01G01598|EQP0000000004524855|EQP0000000004524855|I01G01598|-20.345454000|-40.424789600|NAO|NAO|1|100
ES|VIANA|ESVIA_G1I01|BARRAMENTO|BR-ESVIA01-DGO1|Secundario|LOC0000000003954008|PT_ESVIA103|EQP0000000004521056|ESVIA-I01-SP198-SP199-SP200-SP201|EQP0000000004523698|I01G01593|4|CBL0000000004704350|ESVIA-I01-SP200F1I01G01597|DROP 12F|12|Cordoalha|80.300000000|64.350000000|515|I01G01598|EQP0000000004524855|EQP0000000004524855|I01G01598|-20.345454000|-40.424789600|515|I01G01597|EQP0000000004524615|EQP0000000004524615|I01G01597|-20.344872800|-40.424793400|NAO|NAO|1|100
ES|VIANA|ESVIA_G1I01|BARRAMENTO|BR-ESVIA01-DGO1|Secundario|LOC0000000003954008|PT_ESVIA103|EQP0000000004521056|ESVIA-I01-SP198-SP199-SP200-SP201|EQP0000000004523698|I01G01593|5|CBL0000000004704476|ESVIA-I01-SP200F1I01G01596|DROP 12F|12|Cordoalha|60.000000000|44.000000000|515|I01G01597|EQP0000000004524615|EQP0000000004524615|I01G01597|-20.344872800|-40.424793400|515|I01G01596|EQP0000000004524469|EQP0000000004524469|I01G01596|-20.344475400|-40.424794100|NAO|NAO|1|100
